"theta","dist","k","calins"
0,"cosine",2,24.8
0,"cosine",3,25.4651162790698
0,"cosine",4,16.4108527131783
0,"cosine",5,26.7272727272727
0,"cosine",6,22.5818181818182
0,"cosine",7,19.6969696969697
0,"cosine",8,13.6363636363636
0,"cosine",9,23.4
0,"cosine",10,20.4444444444444
0,"cosine",11,17.6
0,"cosine",12,14.8909090909091
0,"cosine",13,8.66666666666667
0,"cosine",14,8.18461538461538
0,"cosine",15,6.42857142857143
0,"cosine",16,5.66666666666667
0,"cosine",17,4
0,"cosine",18,6.70588235294118
0,"cosine",19,3.11111111111111
0,"cosine",20,4.92631578947368
0,"cosine",21,20.4
0,"cosine",22,1.67619047619048
0,"cosine",23,2.72727272727273
0,"cosine",24,5.8695652173913
0,"cosine",25,0.733333333333333
0,"cosine",26,1.12
0,"cosine",27,1.15384615384615
0,"cosine",28,0.444444444444444
0,"cosine",29,0.714285714285714
0,"cosine",30,0.0413793103448276
0,"cosine",31,0.0266666666666667
0,"cosine",32,0.0645161290322581
0,"cosine",33,NA
0,"jaccard",2,24.8
0,"jaccard",3,25.4651162790698
0,"jaccard",4,16.4108527131783
0,"jaccard",5,26.7272727272727
0,"jaccard",6,22.5818181818182
0,"jaccard",7,19.6969696969697
0,"jaccard",8,13.6363636363636
0,"jaccard",9,23.4
0,"jaccard",10,20.4444444444444
0,"jaccard",11,17.6
0,"jaccard",12,14.8909090909091
0,"jaccard",13,8.66666666666667
0,"jaccard",14,8.18461538461538
0,"jaccard",15,6.42857142857143
0,"jaccard",16,5.66666666666667
0,"jaccard",17,4
0,"jaccard",18,6.70588235294118
0,"jaccard",19,3.11111111111111
0,"jaccard",20,4.92631578947368
0,"jaccard",21,20.4
0,"jaccard",22,1.67619047619048
0,"jaccard",23,2.72727272727273
0,"jaccard",24,5.8695652173913
0,"jaccard",25,0.733333333333333
0,"jaccard",26,1.12
0,"jaccard",27,1.15384615384615
0,"jaccard",28,0.444444444444444
0,"jaccard",29,0.714285714285714
0,"jaccard",30,0.0413793103448276
0,"jaccard",31,0.0266666666666667
0,"jaccard",32,0.0645161290322581
0,"jaccard",33,NA
0,"hamman",2,24.8
0,"hamman",3,25.4651162790698
0,"hamman",4,16.4108527131783
0,"hamman",5,26.7272727272727
0,"hamman",6,22.5818181818182
0,"hamman",7,19.6969696969697
0,"hamman",8,13.6363636363636
0,"hamman",9,23.4
0,"hamman",10,20.4444444444444
0,"hamman",11,17.6
0,"hamman",12,14.8909090909091
0,"hamman",13,8.66666666666667
0,"hamman",14,8.18461538461538
0,"hamman",15,6.42857142857143
0,"hamman",16,5.66666666666667
0,"hamman",17,4
0,"hamman",18,6.70588235294118
0,"hamman",19,3.11111111111111
0,"hamman",20,4.92631578947368
0,"hamman",21,20.4
0,"hamman",22,1.67619047619048
0,"hamman",23,2.72727272727273
0,"hamman",24,5.8695652173913
0,"hamman",25,0.733333333333333
0,"hamman",26,1.12
0,"hamman",27,1.15384615384615
0,"hamman",28,0.444444444444444
0,"hamman",29,0.714285714285714
0,"hamman",30,0.0413793103448276
0,"hamman",31,0.0266666666666667
0,"hamman",32,0.0645161290322581
0,"hamman",33,NA
0,"simple matching",2,24.8
0,"simple matching",3,25.4651162790698
0,"simple matching",4,16.4108527131783
0,"simple matching",5,26.7272727272727
0,"simple matching",6,22.5818181818182
0,"simple matching",7,19.6969696969697
0,"simple matching",8,13.6363636363636
0,"simple matching",9,23.4
0,"simple matching",10,20.4444444444444
0,"simple matching",11,17.6
0,"simple matching",12,14.8909090909091
0,"simple matching",13,8.66666666666667
0,"simple matching",14,8.18461538461538
0,"simple matching",15,6.42857142857143
0,"simple matching",16,5.66666666666667
0,"simple matching",17,4
0,"simple matching",18,6.70588235294118
0,"simple matching",19,3.11111111111111
0,"simple matching",20,4.92631578947368
0,"simple matching",21,20.4
0,"simple matching",22,1.67619047619048
0,"simple matching",23,2.72727272727273
0,"simple matching",24,5.8695652173913
0,"simple matching",25,0.733333333333333
0,"simple matching",26,1.12
0,"simple matching",27,1.15384615384615
0,"simple matching",28,0.444444444444444
0,"simple matching",29,0.714285714285714
0,"simple matching",30,0.0413793103448276
0,"simple matching",31,0.0266666666666667
0,"simple matching",32,0.0645161290322581
0,"simple matching",33,NA
0,"faith",2,24.8
0,"faith",3,25.4651162790698
0,"faith",4,16.4108527131783
0,"faith",5,26.7272727272727
0,"faith",6,22.5818181818182
0,"faith",7,19.6969696969697
0,"faith",8,13.6363636363636
0,"faith",9,23.4
0,"faith",10,20.4444444444444
0,"faith",11,17.6
0,"faith",12,14.8909090909091
0,"faith",13,8.66666666666667
0,"faith",14,8.18461538461538
0,"faith",15,6.42857142857143
0,"faith",16,5.66666666666667
0,"faith",17,4
0,"faith",18,6.70588235294118
0,"faith",19,3.11111111111111
0,"faith",20,4.92631578947368
0,"faith",21,20.4
0,"faith",22,1.67619047619048
0,"faith",23,2.72727272727273
0,"faith",24,5.8695652173913
0,"faith",25,0.733333333333333
0,"faith",26,1.12
0,"faith",27,1.15384615384615
0,"faith",28,0.444444444444444
0,"faith",29,0.714285714285714
0,"faith",30,0.0413793103448276
0,"faith",31,0.0266666666666667
0,"faith",32,0.0645161290322581
0,"faith",33,NA
0.0707142857142857,"cosine",2,0
0.0707142857142857,"cosine",3,67.5
0.0707142857142857,"cosine",4,57.0333333333333
0.0707142857142857,"cosine",5,58.3333333333333
0.0707142857142857,"cosine",6,75.6
0.0707142857142857,"cosine",7,75.8333333333333
0.0707142857142857,"cosine",8,83.5714285714286
0.0707142857142857,"cosine",9,54
0.0707142857142857,"cosine",10,44.2962962962963
0.0707142857142857,"cosine",11,27.1333333333333
0.0707142857142857,"cosine",12,29.9090909090909
0.0707142857142857,"cosine",13,70.8333333333333
0.0707142857142857,"cosine",14,14.9807692307692
0.0707142857142857,"cosine",15,115.714285714286
0.0707142857142857,"cosine",16,80.4666666666667
0.0707142857142857,"cosine",17,81
0.0707142857142857,"cosine",18,55.5882352941176
0.0707142857142857,"cosine",19,52.1111111111111
0.0707142857142857,"cosine",20,45.1578947368421
0.0707142857142857,"cosine",21,42
0.0707142857142857,"cosine",22,35.6190476190476
0.0707142857142857,"cosine",23,30.9090909090909
0.0707142857142857,"cosine",24,23.4782608695652
0.0707142857142857,"cosine",25,17.3333333333333
0.0707142857142857,"cosine",26,14.56
0.0707142857142857,"cosine",27,10.1538461538462
0.0707142857142857,"cosine",28,4.81481481481481
0.0707142857142857,"cosine",29,3.42857142857143
0.0707142857142857,"cosine",30,2.27586206896552
0.0707142857142857,"cosine",31,0.133333333333333
0.0707142857142857,"cosine",32,0.032258064516129
0.0707142857142857,"cosine",33,NA
0.0707142857142857,"jaccard",2,0
0.0707142857142857,"jaccard",3,67.5
0.0707142857142857,"jaccard",4,57.0333333333333
0.0707142857142857,"jaccard",5,58.3333333333333
0.0707142857142857,"jaccard",6,75.6
0.0707142857142857,"jaccard",7,75.8333333333333
0.0707142857142857,"jaccard",8,83.5714285714286
0.0707142857142857,"jaccard",9,54
0.0707142857142857,"jaccard",10,44.2962962962963
0.0707142857142857,"jaccard",11,27.1333333333333
0.0707142857142857,"jaccard",12,29.9090909090909
0.0707142857142857,"jaccard",13,70.8333333333333
0.0707142857142857,"jaccard",14,14.9807692307692
0.0707142857142857,"jaccard",15,115.714285714286
0.0707142857142857,"jaccard",16,80.4666666666667
0.0707142857142857,"jaccard",17,81
0.0707142857142857,"jaccard",18,55.5882352941176
0.0707142857142857,"jaccard",19,52.1111111111111
0.0707142857142857,"jaccard",20,45.1578947368421
0.0707142857142857,"jaccard",21,42
0.0707142857142857,"jaccard",22,35.6190476190476
0.0707142857142857,"jaccard",23,30.9090909090909
0.0707142857142857,"jaccard",24,23.4782608695652
0.0707142857142857,"jaccard",25,17.3333333333333
0.0707142857142857,"jaccard",26,14.56
0.0707142857142857,"jaccard",27,10.1538461538462
0.0707142857142857,"jaccard",28,4.81481481481481
0.0707142857142857,"jaccard",29,3.42857142857143
0.0707142857142857,"jaccard",30,2.27586206896552
0.0707142857142857,"jaccard",31,0.133333333333333
0.0707142857142857,"jaccard",32,0.032258064516129
0.0707142857142857,"jaccard",33,NA
0.0707142857142857,"hamman",2,0
0.0707142857142857,"hamman",3,0
0.0707142857142857,"hamman",4,11.1929824561404
0.0707142857142857,"hamman",5,8.8421052631579
0.0707142857142857,"hamman",6,32.4
0.0707142857142857,"hamman",7,26
0.0707142857142857,"hamman",8,22.1428571428571
0.0707142857142857,"hamman",9,9
0.0707142857142857,"hamman",10,7.66666666666667
0.0707142857142857,"hamman",11,6.38
0.0707142857142857,"hamman",12,6.15151515151515
0.0707142857142857,"hamman",13,4.66666666666667
0.0707142857142857,"hamman",14,4.23846153846154
0.0707142857142857,"hamman",15,3.6
0.0707142857142857,"hamman",16,3.17333333333333
0.0707142857142857,"hamman",17,2.7
0.0707142857142857,"hamman",18,0.264705882352941
0.0707142857142857,"hamman",19,0.233333333333333
0.0707142857142857,"hamman",20,0.205263157894737
0.0707142857142857,"hamman",21,0.18
0.0707142857142857,"hamman",22,0.157142857142857
0.0707142857142857,"hamman",23,0.136363636363636
0.0707142857142857,"hamman",24,0.117391304347826
0.0707142857142857,"hamman",25,0.0666666666666667
0.0707142857142857,"hamman",26,0.028
0.0707142857142857,"hamman",27,0.0230769230769231
0.0707142857142857,"hamman",28,0
0.0707142857142857,"hamman",29,0
0.0707142857142857,"hamman",30,0
0.0707142857142857,"hamman",31,0
0.0707142857142857,"hamman",32,0
0.0707142857142857,"hamman",33,NA
0.0707142857142857,"simple matching",2,0
0.0707142857142857,"simple matching",3,9.15254237288136
0.0707142857142857,"simple matching",4,12.4519774011299
0.0707142857142857,"simple matching",5,11.0526315789474
0.0707142857142857,"simple matching",6,17.0526315789474
0.0707142857142857,"simple matching",7,15.5087719298246
0.0707142857142857,"simple matching",8,9.77443609022556
0.0707142857142857,"simple matching",9,6.94736842105263
0.0707142857142857,"simple matching",10,5.91812865497076
0.0707142857142857,"simple matching",11,5.09473684210526
0.0707142857142857,"simple matching",12,9.33333333333333
0.0707142857142857,"simple matching",13,5.92592592592593
0.0707142857142857,"simple matching",14,5.84615384615385
0.0707142857142857,"simple matching",15,4.28571428571429
0.0707142857142857,"simple matching",16,3.77777777777778
0.0707142857142857,"simple matching",17,2.22222222222222
0.0707142857142857,"simple matching",18,1.76470588235294
0.0707142857142857,"simple matching",19,0.777777777777778
0.0707142857142857,"simple matching",20,0.684210526315789
0.0707142857142857,"simple matching",21,6
0.0707142857142857,"simple matching",22,0.523809523809524
0.0707142857142857,"simple matching",23,2.04545454545455
0.0707142857142857,"simple matching",24,0.31304347826087
0.0707142857142857,"simple matching",25,5.33333333333333
0.0707142857142857,"simple matching",26,0.196
0.0707142857142857,"simple matching",27,1.61538461538462
0.0707142857142857,"simple matching",28,0.444444444444444
0.0707142857142857,"simple matching",29,0.714285714285714
0.0707142857142857,"simple matching",30,0.0413793103448276
0.0707142857142857,"simple matching",31,0.0266666666666667
0.0707142857142857,"simple matching",32,0.0645161290322581
0.0707142857142857,"simple matching",33,NA
0.0707142857142857,"faith",2,0
0.0707142857142857,"faith",3,9.15254237288136
0.0707142857142857,"faith",4,12.4519774011299
0.0707142857142857,"faith",5,11.0526315789474
0.0707142857142857,"faith",6,17.0526315789474
0.0707142857142857,"faith",7,15.5087719298246
0.0707142857142857,"faith",8,9.77443609022556
0.0707142857142857,"faith",9,6.94736842105263
0.0707142857142857,"faith",10,5.91812865497076
0.0707142857142857,"faith",11,5.09473684210526
0.0707142857142857,"faith",12,9.33333333333333
0.0707142857142857,"faith",13,5.92592592592593
0.0707142857142857,"faith",14,5.84615384615385
0.0707142857142857,"faith",15,4.28571428571429
0.0707142857142857,"faith",16,3.77777777777778
0.0707142857142857,"faith",17,2.22222222222222
0.0707142857142857,"faith",18,1.76470588235294
0.0707142857142857,"faith",19,0.777777777777778
0.0707142857142857,"faith",20,0.684210526315789
0.0707142857142857,"faith",21,6
0.0707142857142857,"faith",22,0.523809523809524
0.0707142857142857,"faith",23,2.04545454545455
0.0707142857142857,"faith",24,0.31304347826087
0.0707142857142857,"faith",25,5.33333333333333
0.0707142857142857,"faith",26,0.196
0.0707142857142857,"faith",27,1.61538461538462
0.0707142857142857,"faith",28,0.444444444444444
0.0707142857142857,"faith",29,0.714285714285714
0.0707142857142857,"faith",30,0.0413793103448276
0.0707142857142857,"faith",31,0.0266666666666667
0.0707142857142857,"faith",32,0.0645161290322581
0.0707142857142857,"faith",33,NA
0.141428571428571,"cosine",2,0
0.141428571428571,"cosine",3,26.25
0.141428571428571,"cosine",4,15.4666666666667
0.141428571428571,"cosine",5,21
0.141428571428571,"cosine",6,20.52
0.141428571428571,"cosine",7,377
0.141428571428571,"cosine",8,310.714285714286
0.141428571428571,"cosine",9,23.7857142857143
0.141428571428571,"cosine",10,18.6190476190476
0.141428571428571,"cosine",11,18.2285714285714
0.141428571428571,"cosine",12,139.363636363636
0.141428571428571,"cosine",13,124.166666666667
0.141428571428571,"cosine",14,95.7307692307692
0.141428571428571,"cosine",15,64.9285714285714
0.141428571428571,"cosine",16,47.0333333333333
0.141428571428571,"cosine",17,91
0.141428571428571,"cosine",18,63.5294117647059
0.141428571428571,"cosine",19,54.4444444444444
0.141428571428571,"cosine",20,50.6315789473684
0.141428571428571,"cosine",21,39
0.141428571428571,"cosine",22,33.5238095238095
0.141428571428571,"cosine",23,30.9090909090909
0.141428571428571,"cosine",24,23.4782608695652
0.141428571428571,"cosine",25,17.3333333333333
0.141428571428571,"cosine",26,14.56
0.141428571428571,"cosine",27,10.1538461538462
0.141428571428571,"cosine",28,4.81481481481481
0.141428571428571,"cosine",29,3.42857142857143
0.141428571428571,"cosine",30,2.27586206896552
0.141428571428571,"cosine",31,0.133333333333333
0.141428571428571,"cosine",32,0.032258064516129
0.141428571428571,"cosine",33,NA
0.141428571428571,"jaccard",2,0
0.141428571428571,"jaccard",3,26.25
0.141428571428571,"jaccard",4,15.4666666666667
0.141428571428571,"jaccard",5,21
0.141428571428571,"jaccard",6,20.52
0.141428571428571,"jaccard",7,377
0.141428571428571,"jaccard",8,310.714285714286
0.141428571428571,"jaccard",9,23.7857142857143
0.141428571428571,"jaccard",10,18.6190476190476
0.141428571428571,"jaccard",11,18.2285714285714
0.141428571428571,"jaccard",12,139.363636363636
0.141428571428571,"jaccard",13,124.166666666667
0.141428571428571,"jaccard",14,95.7307692307692
0.141428571428571,"jaccard",15,64.9285714285714
0.141428571428571,"jaccard",16,47.0333333333333
0.141428571428571,"jaccard",17,91
0.141428571428571,"jaccard",18,63.5294117647059
0.141428571428571,"jaccard",19,54.4444444444444
0.141428571428571,"jaccard",20,50.6315789473684
0.141428571428571,"jaccard",21,39
0.141428571428571,"jaccard",22,33.5238095238095
0.141428571428571,"jaccard",23,30.9090909090909
0.141428571428571,"jaccard",24,23.4782608695652
0.141428571428571,"jaccard",25,17.3333333333333
0.141428571428571,"jaccard",26,14.56
0.141428571428571,"jaccard",27,10.1538461538462
0.141428571428571,"jaccard",28,4.81481481481481
0.141428571428571,"jaccard",29,3.42857142857143
0.141428571428571,"jaccard",30,2.27586206896552
0.141428571428571,"jaccard",31,0.133333333333333
0.141428571428571,"jaccard",32,0.032258064516129
0.141428571428571,"jaccard",33,NA
0.141428571428571,"hamman",2,0
0.141428571428571,"hamman",3,0
0.141428571428571,"hamman",4,11.1929824561404
0.141428571428571,"hamman",5,8.8421052631579
0.141428571428571,"hamman",6,32.4
0.141428571428571,"hamman",7,26
0.141428571428571,"hamman",8,22.1428571428571
0.141428571428571,"hamman",9,9
0.141428571428571,"hamman",10,7.66666666666667
0.141428571428571,"hamman",11,6.38
0.141428571428571,"hamman",12,6.15151515151515
0.141428571428571,"hamman",13,4.66666666666667
0.141428571428571,"hamman",14,4.23846153846154
0.141428571428571,"hamman",15,3.6
0.141428571428571,"hamman",16,3.06
0.141428571428571,"hamman",17,2.7
0.141428571428571,"hamman",18,2.38235294117647
0.141428571428571,"hamman",19,2.1
0.141428571428571,"hamman",20,1.84736842105263
0.141428571428571,"hamman",21,1.62
0.141428571428571,"hamman",22,0.157142857142857
0.141428571428571,"hamman",23,0.136363636363636
0.141428571428571,"hamman",24,0.117391304347826
0.141428571428571,"hamman",25,0.0666666666666667
0.141428571428571,"hamman",26,0.028
0.141428571428571,"hamman",27,0.0230769230769231
0.141428571428571,"hamman",28,0
0.141428571428571,"hamman",29,0
0.141428571428571,"hamman",30,0
0.141428571428571,"hamman",31,0
0.141428571428571,"hamman",32,0
0.141428571428571,"hamman",33,NA
0.141428571428571,"simple matching",2,0
0.141428571428571,"simple matching",3,9.15254237288136
0.141428571428571,"simple matching",4,12.4519774011299
0.141428571428571,"simple matching",5,11.0526315789474
0.141428571428571,"simple matching",6,17.0526315789474
0.141428571428571,"simple matching",7,15.5087719298246
0.141428571428571,"simple matching",8,9.77443609022556
0.141428571428571,"simple matching",9,6.94736842105263
0.141428571428571,"simple matching",10,5.91812865497076
0.141428571428571,"simple matching",11,5.09473684210526
0.141428571428571,"simple matching",12,9.33333333333333
0.141428571428571,"simple matching",13,5.92592592592593
0.141428571428571,"simple matching",14,5.84615384615385
0.141428571428571,"simple matching",15,4.28571428571429
0.141428571428571,"simple matching",16,3.77777777777778
0.141428571428571,"simple matching",17,2.22222222222222
0.141428571428571,"simple matching",18,1.76470588235294
0.141428571428571,"simple matching",19,0.777777777777778
0.141428571428571,"simple matching",20,0.684210526315789
0.141428571428571,"simple matching",21,6
0.141428571428571,"simple matching",22,0.523809523809524
0.141428571428571,"simple matching",23,2.04545454545455
