"theta","dist","k","scs"
0,"cosine",2,0.041172539813993
0,"cosine",3,0.0165938104985014
0,"cosine",4,-0.00486437653728903
0,"cosine",5,-0.000631346061253442
0,"cosine",6,-0.0257964668305049
0,"cosine",7,-0.0227955000762342
0,"cosine",8,-0.0300414862914863
0,"cosine",9,-0.0609036796536797
0,"cosine",10,-0.0685215247715248
0,"cosine",11,-0.0410864598364598
0,"cosine",12,-0.069085607153789
0,"cosine",13,-0.0875562989199353
0,"cosine",14,-0.100937950937951
0,"cosine",15,-0.117604617604618
0,"cosine",16,-0.147402597402597
0,"cosine",17,-0.0918470418470418
0,"cosine",18,-0.0842712842712843
0,"cosine",19,-0.0665945165945166
0,"cosine",20,-0.0557720057720058
0,"cosine",21,-0.0449494949494949
0,"cosine",22,-0.0813131313131313
0,"cosine",23,-0.0585858585858586
0,"cosine",24,-0.0484848484848485
0,"cosine",25,-0.046969696969697
0,"cosine",26,-0.0318181818181818
0,"cosine",27,-0.0116161616161616
0,"cosine",28,-0.0237373737373737
0,"cosine",29,-0.0136363636363636
0,"cosine",30,-0.0121212121212121
0,"cosine",31,-0.00202020202020202
0,"cosine",32,0.0151515151515152
0,"cosine",33,0
0,"jaccard",2,0.041172539813993
0,"jaccard",3,0.0165938104985014
0,"jaccard",4,-0.00486437653728903
0,"jaccard",5,-0.000631346061253442
0,"jaccard",6,-0.0257964668305049
0,"jaccard",7,-0.0227955000762342
0,"jaccard",8,-0.0300414862914863
0,"jaccard",9,-0.0609036796536797
0,"jaccard",10,-0.0685215247715248
0,"jaccard",11,-0.0410864598364598
0,"jaccard",12,-0.069085607153789
0,"jaccard",13,-0.0875562989199353
0,"jaccard",14,-0.100937950937951
0,"jaccard",15,-0.117604617604618
0,"jaccard",16,-0.147402597402597
0,"jaccard",17,-0.0918470418470418
0,"jaccard",18,-0.0842712842712843
0,"jaccard",19,-0.0665945165945166
0,"jaccard",20,-0.0557720057720058
0,"jaccard",21,-0.0449494949494949
0,"jaccard",22,-0.0813131313131313
0,"jaccard",23,-0.0585858585858586
0,"jaccard",24,-0.0484848484848485
0,"jaccard",25,-0.046969696969697
0,"jaccard",26,-0.0318181818181818
0,"jaccard",27,-0.0116161616161616
0,"jaccard",28,-0.0237373737373737
0,"jaccard",29,-0.0136363636363636
0,"jaccard",30,-0.0121212121212121
0,"jaccard",31,-0.00202020202020202
0,"jaccard",32,0.0151515151515152
0,"jaccard",33,0
0,"hamman",2,0.041172539813993
0,"hamman",3,0.0165938104985014
0,"hamman",4,-0.00486437653728903
0,"hamman",5,-0.000631346061253442
0,"hamman",6,-0.0257964668305049
0,"hamman",7,-0.0227955000762342
0,"hamman",8,-0.0300414862914863
0,"hamman",9,-0.0609036796536797
0,"hamman",10,-0.0685215247715248
0,"hamman",11,-0.0410864598364598
0,"hamman",12,-0.069085607153789
0,"hamman",13,-0.0875562989199353
0,"hamman",14,-0.100937950937951
0,"hamman",15,-0.117604617604618
0,"hamman",16,-0.147402597402597
0,"hamman",17,-0.0918470418470418
0,"hamman",18,-0.0842712842712843
0,"hamman",19,-0.0665945165945166
0,"hamman",20,-0.0557720057720058
0,"hamman",21,-0.0449494949494949
0,"hamman",22,-0.0813131313131313
0,"hamman",23,-0.0585858585858586
0,"hamman",24,-0.0484848484848485
0,"hamman",25,-0.046969696969697
0,"hamman",26,-0.0318181818181818
0,"hamman",27,-0.0116161616161616
0,"hamman",28,-0.0237373737373737
0,"hamman",29,-0.0136363636363636
0,"hamman",30,-0.0121212121212121
0,"hamman",31,-0.00202020202020202
0,"hamman",32,0.0151515151515152
0,"hamman",33,0
0,"simple matching",2,0.041172539813993
0,"simple matching",3,0.0165938104985014
0,"simple matching",4,-0.00486437653728903
0,"simple matching",5,-0.000631346061253442
0,"simple matching",6,-0.0257964668305049
0,"simple matching",7,-0.0227955000762342
0,"simple matching",8,-0.0300414862914863
0,"simple matching",9,-0.0609036796536797
0,"simple matching",10,-0.0685215247715248
0,"simple matching",11,-0.0410864598364598
0,"simple matching",12,-0.069085607153789
0,"simple matching",13,-0.0875562989199353
0,"simple matching",14,-0.100937950937951
0,"simple matching",15,-0.117604617604618
0,"simple matching",16,-0.147402597402597
0,"simple matching",17,-0.0918470418470418
0,"simple matching",18,-0.0842712842712843
0,"simple matching",19,-0.0665945165945166
0,"simple matching",20,-0.0557720057720058
0,"simple matching",21,-0.0449494949494949
0,"simple matching",22,-0.0813131313131313
0,"simple matching",23,-0.0585858585858586
0,"simple matching",24,-0.0484848484848485
0,"simple matching",25,-0.046969696969697
0,"simple matching",26,-0.0318181818181818
0,"simple matching",27,-0.0116161616161616
0,"simple matching",28,-0.0237373737373737
0,"simple matching",29,-0.0136363636363636
