"theta","dist","k","calins"
0,"cosine",2,36
0,"cosine",3,47
0,"cosine",4,60.7320261437908
0,"cosine",5,39.2647058823529
0,"cosine",6,44.5176470588235
0,"cosine",7,115.462962962963
0,"cosine",8,87.3333333333333
0,"cosine",9,80.2916666666667
0,"cosine",10,72.5925925925926
0,"cosine",11,59.3666666666667
0,"cosine",12,52.5858585858586
0,"cosine",13,851
0,"cosine",14,764.307692307692
0,"cosine",15,640
0,"cosine",16,548.533333333333
0,"cosine",17,466.125
0,"cosine",18,414.117647058824
0,"cosine",19,409.888888888889
0,"cosine",20,375.789473684211
0,"cosine",21,336.4
0,"cosine",22,296
0,"cosine",23,272.454545454545
0,"cosine",24,248.695652173913
0,"cosine",25,231.25
0,"cosine",26,22.8266666666667
0,"cosine",27,34.6769230769231
0,"cosine",28,18.1296296296296
0,"cosine",29,9.80769230769231
0,"cosine",30,111.724137931034
0,"cosine",31,82.3333333333333
0,"cosine",32,16.258064516129
0,"cosine",33,6.2421875
0,"cosine",34,44.6060606060606
0,"cosine",35,19.8529411764706
0,"cosine",36,32.8
0,"cosine",37,1.80555555555556
0,"cosine",38,7.78378378378378
0,"cosine",39,0.78328173374613
0,"cosine",40,5.64102564102564
0,"cosine",41,1.05
0,"cosine",42,0.737127371273713
0,"cosine",43,0.533333333333333
0,"cosine",44,0.223255813953488
0,"cosine",45,0.136363636363636
0,"cosine",46,0.355555555555556
0,"cosine",47,0.0521739130434783
0,"cosine",48,0.0170212765957447
0,"cosine",49,0.0104166666666667
0,"cosine",50,NA
0,"jaccard",2,36
0,"jaccard",3,47
0,"jaccard",4,60.7320261437908
0,"jaccard",5,39.2647058823529
0,"jaccard",6,44.5176470588235
0,"jaccard",7,115.462962962963
0,"jaccard",8,87.3333333333333
0,"jaccard",9,80.2916666666667
0,"jaccard",10,72.5925925925926
0,"jaccard",11,59.3666666666667
0,"jaccard",12,52.5858585858586
0,"jaccard",13,851
0,"jaccard",14,764.307692307692
0,"jaccard",15,640
0,"jaccard",16,548.533333333333
0,"jaccard",17,466.125
0,"jaccard",18,414.117647058824
0,"jaccard",19,409.888888888889
0,"jaccard",20,375.789473684211
0,"jaccard",21,336.4
0,"jaccard",22,296
0,"jaccard",23,272.454545454545
0,"jaccard",24,248.695652173913
0,"jaccard",25,231.25
0,"jaccard",26,22.8266666666667
0,"jaccard",27,34.6769230769231
0,"jaccard",28,18.1296296296296
0,"jaccard",29,9.80769230769231
0,"jaccard",30,111.724137931034
0,"jaccard",31,82.3333333333333
0,"jaccard",32,16.258064516129
0,"jaccard",33,6.2421875
0,"jaccard",34,44.6060606060606
0,"jaccard",35,19.8529411764706
0,"jaccard",36,32.8
0,"jaccard",37,1.80555555555556
