"theta","dist","k","scs"
0,"cosine",2,0.0205225584264771
0,"cosine",3,0.0174759160662999
0,"cosine",4,0.0258005820483008
0,"cosine",5,0.0118700841939264
0,"cosine",6,0.0661364201164298
0,"cosine",7,0.0312765781602772
0,"cosine",8,0.023612373765638
0,"cosine",9,0.0569068974978155
0,"cosine",10,0.0303048558612911
0,"cosine",11,-0.00471311558811559
0,"cosine",12,0.00267658730158731
0,"cosine",13,0.00374620287120287
0,"cosine",14,0.000234159359159357
0,"cosine",15,-0.0167896501646502
0,"cosine",16,0.0121598447848448
0,"cosine",17,-0.0126657185407185
0,"cosine",18,0.0233709114959115
0,"cosine",19,0.0431459142709143
0,"cosine",20,0.0328450484700485
0,"cosine",21,0.0261201206201206
0,"cosine",22,-0.00887987937987938
0,"cosine",23,-0.0191894031894032
0,"cosine",24,-0.0320951825951826
0,"cosine",25,-0.0341428571428571
0,"cosine",26,-0.0561428571428571
0,"cosine",27,-0.0494761904761905
0,"cosine",28,-0.0544761904761905
0,"cosine",29,-0.0444761904761905
0,"cosine",30,-0.0244761904761905
0,"cosine",31,-0.0633809523809524
0,"cosine",32,-0.0733809523809524
0,"cosine",33,-0.070047619047619
0,"cosine",34,-0.060047619047619
0,"cosine",35,-0.0863333333333333
0,"cosine",36,-0.0853333333333333
0,"cosine",37,-0.0953333333333333
0,"cosine",38,-0.0803333333333333
0,"cosine",39,-0.0793333333333333
0,"cosine",40,-0.0633333333333333
0,"cosine",41,-0.0623333333333333
0,"cosine",42,-0.0556666666666667
0,"cosine",43,-0.0423333333333333
0,"cosine",44,-0.0223333333333333
0,"cosine",45,-0.0156666666666667
0,"cosine",46,-0.00233333333333333
0,"cosine",47,-0.041
0,"cosine",48,-0.021
0,"cosine",49,-0.02
0,"cosine",50,0
0,"jaccard",2,0.0205225584264771
0,"jaccard",3,0.0174759160662999
0,"jaccard",4,0.0258005820483008
0,"jaccard",5,0.0118700841939264
0,"jaccard",6,0.0661364201164298
0,"jaccard",7,0.0312765781602772
0,"jaccard",8,0.023612373765638
0,"jaccard",9,0.0569068974978155
0,"jaccard",10,0.0303048558612911
0,"jaccard",11,-0.00471311558811559
0,"jaccard",12,0.00267658730158731
0,"jaccard",13,0.00374620287120287
0,"jaccard",14,0.000234159359159357
0,"jaccard",15,-0.0167896501646502
0,"jaccard",16,0.0121598447848448
0,"jaccard",17,-0.0126657185407185
0,"jaccard",18,0.0233709114959115
0,"jaccard",19,0.0431459142709143
0,"jaccard",20,0.0328450484700485
0,"jaccard",21,0.0261201206201206
0,"jaccard",22,-0.00887987937987938
0,"jaccard",23,-0.0191894031894032
0,"jaccard",24,-0.0320951825951826
